"","workerid","cue","left.source","right.source","left.word","right.word","left.choice","right.choice"
"1","AAKL8L5X64LWD","corruption","H","M","politics","allegations",TRUE,FALSE
"2","AAKL8L5X64LWD","germany","H","M","hitler","munich",FALSE,TRUE
"3","AAKL8L5X64LWD","guns","M","H","handguns","rifle",TRUE,FALSE
"4","AAKL8L5X64LWD","animals","H","M","pets","animal",TRUE,FALSE
"5","AAKL8L5X64LWD","happiness","M","H","satisfaction","love",TRUE,FALSE
"6","AAKL8L5X64LWD","welfare","H","M","democracy","freedoms",TRUE,FALSE
"7","AAKL8L5X64LWD","vote","M","H","votes","politics",FALSE,TRUE
"8","AAKL8L5X64LWD","freedom","H","M","liberty","liberty",TRUE,FALSE
