"","workerid","cue","left.source","right.source","left.word","right.word","left.choice","right.choice"
"1","A3O81LHBBI8NPK","corruption","H","M","crime","graft",TRUE,FALSE
"2","A3O81LHBBI8NPK","germany","H","M","europe","europe",TRUE,FALSE
"3","A3O81LHBBI8NPK","vote","H","M","candidate","election",FALSE,TRUE
"4","A3O81LHBBI8NPK","happiness","M","H","joy","laughter",TRUE,FALSE
"5","A3O81LHBBI8NPK","welfare","M","H","liberty","rights",FALSE,TRUE
"6","A3O81LHBBI8NPK","guns","H","M","shooting","ammunition",FALSE,TRUE
"7","A3O81LHBBI8NPK","animals","H","M","dogs","mammals",FALSE,TRUE
"8","A3O81LHBBI8NPK","freedom","H","M","nazi","berlin",FALSE,TRUE
